,person,gender,age,income,age_segment,income_segment
27,02c083884c7d45b39cc68e1314fec56c,F,20.0,30000.0,Young,Low Income
28,c0d210398dee4a0895b24444a5fcd1d2,M,45.0,33000.0,Middle Age,Low Income
29,8be4463721e14d7fa600686bf8c8b2ed,Unknown,55.0,64000.0,Middle Age,Medium Income
30,57dd18ec5ddc46828afb81ec5977bef2,F,54.0,80000.0,Middle Age,High Income
31,be8a5d1981a2458d90b255ddc7e0d174,M,39.0,51000.0,Middle Age,Medium Income
32,a3b9b4bf115e4564933ea2e4bc936843,F,79.0,48000.0,Senior,Low Income
33,7584948ea6d04f94b8798624706261c2,F,66.0,38000.0,Senior,Low Income
34,9c64321646bf40f6ad1bc98864eaa6b8,F,48.0,53000.0,Middle Age,Medium Income
35,676506bad68e4161b9bbaffeb039626b,M,37.0,92000.0,Middle Age,High Income
36,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,M,42.0,96000.0,Middle Age,High Income
37,020d3a52b9ce432ea5f98fc58e9bfcc4,Unknown,55.0,64000.0,Middle Age,Medium Income
38,32fbf97e89274e8a935903f2ad095e1f,M,73.0,38000.0,Senior,Low Income
39,fe8264108d5b4f198453bbb1fa7ca6c9,F,78.0,93000.0,Senior,High Income
40,b7a66e629b134079a9bc7120c7b9947b,M,44.0,35000.0,Middle Age,Low Income
41,ca82e1ebc759402c8ab95c341755bdf1,M,63.0,56000.0,Senior,Medium Income
42,e8fe7ffcf1634713a819d48447737c90,M,27.0,44000.0,Young,Low Income
43,d3f146b615514c6380b168bb3df5f05b,M,68.0,87000.0,Senior,High Income
44,a5a6ef2b78a04ddc9f374dd7c7f60bff,M,75.0,52000.0,Senior,Medium Income
45,2e87ba0fba1a4d1a8614af771f07a94d,M,67.0,76000.0,Senior,Medium Income
46,39dbcf43e24d41f4bbf0f134157e0e1e,M,76.0,64000.0,Senior,Medium Income
47,8c7df0c393db488aac3e58b06a7ea5f9,F,53.0,72000.0,Middle Age,Medium Income
48,3a1242dda16248728e350c4bdeb21972,F,53.0,117000.0,Middle Age,High Income
49,8045834137dc47faa24f2c4547969f33,F,53.0,55000.0,Middle Age,Medium Income
50,fb98ebe9e3e14afaa5b5db182b00b7ec,F,61.0,112000.0,Senior,High Income
51,99e9a1916821461ebd5d5048dc2dff7d,F,58.0,85000.0,Middle Age,High Income
52,3f244f4dea654688ace14acb4f0257bb,M,66.0,71000.0,Senior,Medium Income
53,6e04a90a0e074496b5f229eb1f553433,M,27.0,35000.0,Young,Low Income
54,262ad0fb526a4d53b572007da60cce24,M,40.0,53000.0,Middle Age,Medium Income
55,a2b7a0b3487a4d779ddf4e11a034e2ee,F,73.0,91000.0,Senior,High Income
56,2c5c63e5124e417b8504f76c868a4190,F,74.0,107000.0,Senior,High Income
57,fa7ccb17b2b14f32804d14f86ac87f04,M,38.0,66000.0,Middle Age,Medium Income
58,571b739ada3041fb8fbd20f23ce034f7,M,78.0,58000.0,Senior,Medium Income
59,816afd4505d047cf893275fbfe825590,F,54.0,53000.0,Middle Age,Medium Income
60,13b7b2eccf664a329d83d2a238a9a11d,F,70.0,74000.0,Senior,Medium Income
61,68eee228713c429ebe1300155ad1fb33,F,49.0,57000.0,Middle Age,Medium Income
62,8b70ca1f5f5a45bdac2ac2f990b71526,M,61.0,98000.0,Senior,High Income
63,9aba5058cb4f483da896335a1479a944,F,65.0,119000.0,Senior,High Income
64,0ba6e2ad781c4429afd26cf0b35f2d11,M,73.0,51000.0,Senior,Medium Income
65,53bac762af27471eb294ff89ca1bae2c,Unknown,55.0,64000.0,Middle Age,Medium Income
66,b5abc1e85be84f43937b4fca0ad238cb,F,50.0,93000.0,Middle Age,High Income
67,1c587de019994f93a242c6864fd7bc55,F,90.0,98000.0,Senior,High Income
68,3f4e408b0b2d4ea89dd16d7437d867c1,F,68.0,84000.0,Senior,High Income
69,b19c8e7ac2ff40ae92b4fcf3247f8912,M,45.0,54000.0,Middle Age,Medium Income
70,21c73d53e2a74bb1b4dc172bff2b1aad,M,66.0,49000.0,Senior,Low Income
71,488773cae11f4b71875bfccd4e3e99f2,Unknown,55.0,64000.0,Middle Age,Medium Income
72,182e68952b474700b171e21b85c258ac,Unknown,55.0,64000.0,Middle Age,Medium Income
73,1abeb816d9fa49b4b5b5ae51bc3d24c3,F,19.0,73000.0,Young,Medium Income
74,92e07c49ee7448fca6e48df0c96e3eec,F,66.0,58000.0,Senior,Medium Income
75,f8aedd0cbea0419c806842b4265b82e5,F,72.0,72000.0,Senior,Medium Income
76,5e9c83e8ab4d4e9ca83f3256d83ca756,Unknown,55.0,64000.0,Middle Age,Medium Income
77,a9780228a1d04539afdee8b745e4be10,M,76.0,63000.0,Senior,Medium Income
78,94f14dcfedba47e18b7efca13dd7574b,M,52.0,78000.0,Middle Age,Medium Income
79,8a4bc602e4424ab6b16f0b907f2f22af,M,55.0,31000.0,Middle Age,Low Income
80,6d28f18e91324d358d69d1e4b01f1ace,F,39.0,60000.0,Middle Age,Medium Income
81,52f0bd64403f4958ab8fe9a6947c13c3,F,45.0,44000.0,Middle Age,Low Income
82,93e67942586e43fb87d5ffb1ead8db41,F,57.0,114000.0,Middle Age,High Income
83,716a961d2afb4c1d8307522a8cbb4f07,M,18.0,47000.0,Young,Low Income
84,13033baa9d294c3c9165a00d71b72614,M,53.0,96000.0,Middle Age,High Income
85,d41fa9b8c2e24a1d94caa890c53bbcf6,M,53.0,95000.0,Middle Age,High Income
86,1a353048b0884fc5a0afa27677ef1e80,F,51.0,56000.0,Middle Age,Medium Income
87,c099206f76b1414db7552f163520053c,Unknown,55.0,64000.0,Middle Age,Medium Income
88,e6d3eebb535e44aca1323edde5c346fa,Unknown,55.0,64000.0,Middle Age,Medium Income
89,2cf5895bddf9467e878c6d51a622d5fb,F,64.0,37000.0,Senior,Low Income
90,6747dda08bed46298c23e05b64820a3a,M,71.0,57000.0,Senior,Medium Income
91,f35b342b24734da18a830bb9329a4fbd,F,64.0,66000.0,Senior,Medium Income
92,4c29d22467af4d7faa137c4eedd65340,M,83.0,46000.0,Senior,Low Income
93,e997a086fc13446da2aa9070d98d191a,M,26.0,71000.0,Young,Medium Income
94,17af917bb842480e925e49a8ca08c1f8,F,29.0,58000.0,Young,Medium Income
95,7c8479d8241344f6a0c306621e191c75,M,50.0,51000.0,Middle Age,Medium Income
96,5404741ead9442bdbd4b9aa2273e85af,F,49.0,79000.0,Middle Age,Medium Income
97,81e9ad5fa55a4884b65e01a5db8f1b4e,M,79.0,67000.0,Senior,Medium Income
98,ed46fca6de7042478b411690878dc069,Unknown,55.0,64000.0,Middle Age,Medium Income
99,37a97f6e09784a07bbb67bc6539f1a00,M,55.0,66000.0,Middle Age,Medium Income
100,65f06566a2a14f64b003964f211635e1,M,25.0,68000.0,Young,Medium Income
101,88baa20c29a94178a43a7d68e5f039d4,M,77.0,69000.0,Senior,Medium Income
102,23f9e3baf42b43148fee9bbbc3530c7a,F,69.0,87000.0,Senior,High Income
103,28de174a5c854dd1be3187dc6edae45b,F,59.0,85000.0,Middle Age,High Income
104,a1eb338ccbca4cc88c9366939f16d819,M,47.0,66000.0,Middle Age,Medium Income
105,220a39cdfd6b41268c43a2e588fcb7e0,M,20.0,69000.0,Young,Medium Income
106,2399b6b4f8bb4fecb3cfd9cb986922b7,M,53.0,56000.0,Middle Age,Medium Income
107,fe97aa22dd3e48c8b143116a8403dd52,F,39.0,67000.0,Middle Age,Medium Income
108,c863af14b3654499b1caea5e640136d2,M,68.0,58000.0,Senior,Medium Income
109,d7dc31e069124ef49e1bb937cb89f41c,M,42.0,80000.0,Middle Age,High Income
110,1827da57bb924833a6f73c79b5f2bbc5,M,72.0,33000.0,Senior,Low Income
111,721eb06ac285463aa6e1184e0ea9b7f0,F,18.0,49000.0,Young,Low Income
112,0f54094029ca4107bfd36203aeb3ed14,M,67.0,50000.0,Senior,Medium Income
113,5f18c5754dc04baaa1267c823f877a85,M,52.0,42000.0,Middle Age,Low Income
114,d8567f1400d8486cb31c6abba64389ec,M,38.0,64000.0,Middle Age,Medium Income
115,30fae86966114f6e83c3043b22b6b7c4,F,60.0,77000.0,Senior,Medium Income
116,fd700397b7c8440baa70d5539926c5a0,F,62.0,77000.0,Senior,Medium Income
117,4293153650e04742b310ac06cd3810e9,F,55.0,51000.0,Middle Age,Medium Income
118,2ce2e03319c7446ca9c379b4589da19b,M,22.0,63000.0,Young,Medium Income
119,c382ccba648a45b0bb55f3465df838aa,F,36.0,57000.0,Middle Age,Medium Income
120,127cd9d95e6247e5b92bff64d6205a94,M,46.0,60000.0,Middle Age,Medium Income
121,3ecb372184104ff7bad0f0f60cb56e29,F,51.0,85000.0,Middle Age,High Income
122,8a37057f57c4495fb98dfcc8b909b09f,F,53.0,85000.0,Middle Age,High Income
123,11da2f066d3943699d10b61fd276fd1a,M,51.0,92000.0,Middle Age,High Income
124,21b02228cd4441b49bf0b5ff046f4b75,M,48.0,44000.0,Middle Age,Low Income
125,629fc02d56414d91bca360decdfa9288,M,52.0,72000.0,Middle Age,Medium Income
126,2481f1fcfbcb4b288e5a03af02d95373,F,64.0,83000.0,Senior,High Income
127,91dc71c4e9bd45b0861825c32f5ee8f9,M,42.0,62000.0,Middle Age,Medium Income
128,bc62f4b408144010914d5755f1d17bdf,Unknown,55.0,64000.0,Middle Age,Medium Income
129,5cac1f0d55c3466fb29e8de342a5e9c9,O,81.0,57000.0,Senior,Medium Income
130,041fd7c6b796430a867c4e03d2ff8f4d,M,77.0,66000.0,Senior,Medium Income
131,348bdc19d65f49b8b98f72c59e64cd89,F,50.0,69000.0,Middle Age,Medium Income
132,791ffe6d3dc848d2b233129a8096f7ab,F,57.0,89000.0,Middle Age,High Income
133,b818e955451b47db9fc8767fa45e464e,M,61.0,44000.0,Senior,Low Income
134,7b1b0b6cbce6475ebb6c8945c29cd79f,M,50.0,53000.0,Middle Age,Medium Income
135,a9ecb39d93d74696a9d6ddd5355329ff,F,58.0,54000.0,Middle Age,Medium Income
136,0d18c37c8b58459f8aa6af2f7b541357,F,67.0,54000.0,Senior,Medium Income
137,d250372c924747d8ac9a8fa88f584bc3,M,24.0,61000.0,Young,Medium Income
138,3cea9c09fefb4c33ae2f0aa604af7eb4,M,26.0,35000.0,Young,Low Income
139,87efa556dd48400cb4231a273e088bcf,F,71.0,105000.0,Senior,High Income
140,4e4c47b460b1414c8ddd459b61f84b9e,F,69.0,64000.0,Senior,Medium Income
141,accec36a10704e1fbaeb9b28b8bc5da8,M,81.0,93000.0,Senior,High Income
142,d1a6fe4c241e4dbf8a4da6fd6c714ac5,M,62.0,73000.0,Senior,Medium Income
143,cf5e1f22460c47868c548fc4ffc6dfec,M,55.0,79000.0,Middle Age,Medium Income
144,9df2790f060d430e94f17189042e5671,M,50.0,70000.0,Middle Age,Medium Income
145,ae47fbe72b274838a2093c3e91bc03dc,M,54.0,118000.0,Middle Age,High Income
146,5549b705af144f9aa6ff76a1515fc908,M,18.0,46000.0,Young,Low Income
147,5627d082d908490aaac42034255a91b5,M,57.0,58000.0,Middle Age,Medium Income
148,aa4a681ea192401ab469b616f8fe6885,M,64.0,38000.0,Senior,Low Income
149,ae40f2f496e84ed29e7638b0bccee9a4,F,54.0,99000.0,Middle Age,High Income
150,e94a9c2e750645d0a1aca57a9b4ca4c3,Unknown,55.0,64000.0,Middle Age,Medium Income
151,d8fc164eb048450797d598b391c09ffa,Unknown,55.0,64000.0,Middle Age,Medium Income
152,bf2c086d4c4049289df1e0c8ea08f55c,M,90.0,45000.0,Senior,Low Income
153,5b9c1a35c0144b6ab584e666dec7c531,F,34.0,67000.0,Young,Medium Income
154,ad3c443c9ce34aa38929b0a84cb14c04,M,44.0,53000.0,Middle Age,Medium Income
155,688e4f2487d44ad8bbcc0f96936f42d6,F,79.0,106000.0,Senior,High Income
156,73c157a4b8e342fcb5d8479d8cb41e81,F,58.0,95000.0,Middle Age,High Income
157,82d57bf7f37a4b37aff9e7bd293be8bc,Unknown,55.0,64000.0,Middle Age,Medium Income
158,e737ff591120415581ddbe817b8c82ca,F,47.0,74000.0,Middle Age,Medium Income
159,9cb34ff9de694c578154da3efc9915db,F,60.0,59000.0,Senior,Medium Income
160,4e5923e5deab4d5cb1624a0b1cc9909c,F,74.0,103000.0,Senior,High Income
161,2c5c71b7bfaa4e3e8088fc177e6e559b,M,89.0,101000.0,Senior,High Income
162,307245a5204947e5a9f952daffcad5f2,M,68.0,62000.0,Senior,Medium Income
163,341276cb09ac42ad8473be091b52b082,F,79.0,99000.0,Senior,High Income
164,18174519037241e9b1ddcb627ca4dc41,M,71.0,30000.0,Senior,Low Income
165,978d48db5c714a4490d904412f85b502,F,76.0,114000.0,Senior,High Income
166,57b591069ad24965ba32f0b224583f97,F,47.0,61000.0,Middle Age,Medium Income
167,044f41cfd98940119477d73c81f973a3,M,63.0,36000.0,Senior,Low Income
168,031387fa9cfd47e88f4e4b4b4cb71925,M,41.0,83000.0,Middle Age,High Income
169,8c410d84af08408fb41f953c93ffac27,F,71.0,56000.0,Senior,Medium Income
170,09e7e40eb89943458f4f79fe2e023dd6,M,44.0,36000.0,Middle Age,Low Income
171,9d15e156105d4fb083ee65932ef6fe26,Unknown,55.0,64000.0,Middle Age,Medium Income
172,02f77bb76ed14d28a05e23b3e00aeb9b,Unknown,55.0,64000.0,Middle Age,Medium Income
173,2a01c11fdcc441bcbdc842c35adccb2f,M,67.0,106000.0,Senior,High Income
174,78e9be059fce46a1b610f74e0e812a4a,F,77.0,80000.0,Senior,High Income
175,ad4fd34e9f7e4fd9ae627edd73ca2081,F,68.0,66000.0,Senior,Medium Income
176,ace4a7611da040748d1722cda25b6280,M,55.0,60000.0,Middle Age,Medium Income
177,c894971c9e414a358b84255199727636,M,30.0,54000.0,Young,Medium Income
178,e277228d77a64ab896d6dd6d88f970d3,M,51.0,54000.0,Middle Age,Medium Income
179,6f04a68e93df44d1b2329a399016452b,M,49.0,48000.0,Middle Age,Low Income
180,27aa749a6f5f448e91327028a2ac7fb5,M,32.0,38000.0,Young,Low Income
181,ba9fb3e4a7084361914c1647d871d27e,M,30.0,69000.0,Young,Medium Income
182,00c6035df45840038a72766c6d27a0db,M,47.0,86000.0,Middle Age,High Income
183,bbeb54e861614fc7b22a8844f72dca6c,Unknown,55.0,64000.0,Middle Age,Medium Income
184,fffad4f4828548d1b5583907f2e9906b,M,34.0,34000.0,Young,Low Income
185,50fb5c0c6b1b4f43bd5f4a818dddb513,F,85.0,71000.0,Senior,Medium Income
186,c6a2cd4fdc104ea5896ac60300f6842d,F,76.0,71000.0,Senior,Medium Income
187,1a297cc7262d42b59fb3e34fe0166702,M,51.0,33000.0,Middle Age,Low Income
188,5ad59daa0d6b41f0a0c115443c1d8828,M,23.0,49000.0,Young,Low Income
189,2b91e3c00a424185ab261b2a204c9718,M,58.0,53000.0,Middle Age,Medium Income
190,5ceb90c4e738427f90cd7b16d51c59bc,Unknown,55.0,64000.0,Middle Age,Medium Income
191,23bc15e276d247669fd7d1c08a8fb678,F,64.0,95000.0,Senior,High Income
192,da6c95e567f94dfdb54c16073807fcfe,M,72.0,39000.0,Senior,Low Income
193,3ccc9efe36dc4f13a8a5fc3f3f655f2a,M,54.0,38000.0,Middle Age,Low Income
194,932715eb8a33450c83c1557c99968c7b,M,58.0,39000.0,Middle Age,Low Income
195,d0be9ff460964c3398a33ad9b2829f3a,O,60.0,94000.0,Senior,High Income
196,327d08559d564f13b6aaf681700c2e6e,M,81.0,70000.0,Senior,Medium Income
197,c05652fa9d2c4fac9a010ea5a9310c86,M,62.0,73000.0,Senior,Medium Income
198,fbc039723b044dfd8a1723a976d667d9,F,55.0,54000.0,Middle Age,Medium Income
199,e1103f6b4c444f84b65f856738c0f60c,M,65.0,39000.0,Senior,Low Income
200,b6905df3630b4137b077b6e1b4b21d75,M,52.0,46000.0,Middle Age,Low Income
201,2c3a4de659584bed8d27cfd865f06928,F,30.0,40000.0,Young,Low Income
202,28416e7d96d746fb9c1fb8223d9e4914,F,74.0,75000.0,Senior,Medium Income
203,24c1287eb7a84cfd80472a82e05b1d57,F,100.0,63000.0,Senior,Medium Income
204,a4579681ffca49cfbff6f5453a49bf76,F,26.0,40000.0,Young,Low Income
205,63de418bea27420ab6485d524cb3464b,F,63.0,51000.0,Senior,Medium Income
206,393e6938e7eb46cb86bcb04f231efc0f,M,50.0,90000.0,Middle Age,High Income
207,62fb072537a647a89f99fb9ea66a7c00,M,73.0,95000.0,Senior,High Income
208,585fb2dc600d4a0f912d8911aba11203,M,37.0,50000.0,Middle Age,Medium Income
209,9b0e7b326e314b758369c2f794566eb3,M,65.0,57000.0,Senior,Medium Income
210,ad37608a05a9453d8439806e90962c59,F,26.0,37000.0,Young,Low Income
211,4e6eb10de9744995be7496f5b1cc7bcf,M,20.0,32000.0,Young,Low Income
212,a02783021b7c49eba12cb58cc73a4c44,Unknown,55.0,64000.0,Middle Age,Medium Income
213,e08a264dc9a54efca07e1cf7e9b38480,M,24.0,69000.0,Young,Medium Income
214,a4ac99af1b7f4344b734ac07592ab717,M,71.0,95000.0,Senior,High Income
215,f8362fcaa42248fca2a2a174951a954a,F,50.0,78000.0,Middle Age,Medium Income
216,b7658a8eab2f42668a9d66499b001e88,F,57.0,81000.0,Middle Age,High Income
217,98df356ed5864c12a227be4fff503e42,Unknown,55.0,64000.0,Middle Age,Medium Income
218,a8719d4d305444579b2d2c1b777c3417,M,52.0,85000.0,Middle Age,High Income
219,bd215efd787d4305a006a56154fbcb67,M,41.0,41000.0,Middle Age,Low Income
220,f970eafddcb34154aa4d646b4a71ca34,F,66.0,87000.0,Senior,High Income
221,4bbcb71a7f75455e9957413cf743fef7,M,20.0,70000.0,Young,Medium Income
222,9ef935700f384fefa0e1a34f92555abd,M,43.0,42000.0,Middle Age,Low Income
223,b268f71b99b94e1485ed1ccd4c20007b,M,82.0,110000.0,Senior,High Income
224,91d4029efe87429984d0152b669cea65,Unknown,55.0,64000.0,Middle Age,Medium Income
225,01ef4c6618b64334a15914ff9963eaac,F,70.0,92000.0,Senior,High Income
226,7a7aece75d5347bd869fbcf707aea6b1,F,42.0,71000.0,Middle Age,Medium Income
227,8f7dd3b2afe14c078eb4f6e6fe4ba97d,M,48.0,62000.0,Middle Age,Medium Income
228,8b5ae6d6547745d5adae0b0828de3f7d,F,53.0,93000.0,Middle Age,High Income
229,bf5e5a7d926e4cbfb2da22f8f7d5c18c,Unknown,55.0,64000.0,Middle Age,Medium Income
230,f8756fc0eea24e7ba3ccd846efc4d0d5,F,48.0,105000.0,Middle Age,High Income
231,5e97488a58c641ea8ecb05a8e27fddc4,M,52.0,48000.0,Middle Age,Low Income
232,e6590c7f954f4ff482c069b45070b351,M,28.0,68000.0,Young,Medium Income
233,bb9cf26ad43044a3b0dd90c22bbd05d1,M,69.0,47000.0,Senior,Low Income
234,0861b9ca31b741bb8b411b18f82d18f6,M,73.0,92000.0,Senior,High Income
235,599ad9ceb6f94a6283da40a556bdc262,Unknown,55.0,64000.0,Middle Age,Medium Income
236,eefbc1aac05142aeb0ce661d3a19ae48,F,67.0,71000.0,Senior,Medium Income
237,c34eaeb9e68248c382e4483328bb9867,F,55.0,53000.0,Middle Age,Medium Income
238,1794e0fdfb414ac8a63bf0f26aa01c42,M,46.0,51000.0,Middle Age,Medium Income
239,bf6849a39d3640069a65f44f8b01f5da,F,66.0,32000.0,Senior,Low Income
240,717a423a31284ce1b767cad1c471d968,M,57.0,41000.0,Middle Age,Low Income
241,82bd3f2f916d4e5bbc4b1ac9aa88d5a9,F,59.0,79000.0,Middle Age,Medium Income
242,ca900921cfdd4b11a432df6f46a3e26d,F,54.0,70000.0,Middle Age,Medium Income
243,b94c7601b17b41609daa2e3e56c3f53d,Unknown,55.0,64000.0,Middle Age,Medium Income
244,b4a4a6b9648a45baa15f438ffb5565e9,M,58.0,73000.0,Middle Age,Medium Income
245,eee612e774e8463baa95a9743ab2385d,Unknown,55.0,64000.0,Middle Age,Medium Income
246,07ebe89c877e4328b60f4e5676452ee1,F,73.0,79000.0,Senior,Medium Income
247,371d6b3a983547709252bbbcbedda147,F,58.0,76000.0,Middle Age,Medium Income
248,ea8a1cb1c56e42e4807e9ec27b95b97b,M,51.0,70000.0,Middle Age,Medium Income
249,709189c4727342a782cd28ad41c1b316,M,74.0,78000.0,Senior,Medium Income
250,c0f9e4bb1f3a4d30a34f5a835b2c97ea,M,53.0,95000.0,Middle Age,High Income
251,deadd48aebb74e369f62aefe22bf0dae,M,63.0,39000.0,Senior,Low Income
252,e90d09506c874b06a6668841664ccdc1,M,63.0,49000.0,Senior,Low Income
253,cda87c53c8434854b78be68c0cde4848,M,42.0,75000.0,Middle Age,Medium Income
254,be2b393781594f4da055ef99b4d95e48,M,50.0,57000.0,Middle Age,Medium Income
255,7da4476ec7234c0fa8f05d2336669212,F,57.0,83000.0,Middle Age,High Income
256,a0f63f6e1285445dbbdcc5d4943c843f,F,39.0,54000.0,Middle Age,Medium Income
257,b9326b9931164a05ab2c76266832d481,M,43.0,69000.0,Middle Age,Medium Income
258,c32496c5eddb45439d652b7032cac8cb,Unknown,55.0,64000.0,Middle Age,Medium Income
259,b3ad8755d0ac47faa6e9c10954fec6a4,F,57.0,67000.0,Middle Age,Medium Income
260,fe23d94e175742209abf65cfbc684153,M,57.0,71000.0,Middle Age,Medium Income
261,4c51ba3886b84781996ca15d42af505d,M,68.0,51000.0,Senior,Medium Income
262,ee8eccee44354ee38eea7b4704514136,F,35.0,72000.0,Middle Age,Medium Income
263,1e917541b9324d93bde2bf5ec7ee21a7,M,56.0,72000.0,Middle Age,Medium Income
264,991092556dfe4af39a5e446fd2746ac0,M,42.0,48000.0,Middle Age,Low Income
265,39069e7cd52e474d8c97d8162609bca1,M,71.0,51000.0,Senior,Medium Income
266,a7456960b600412fa516433d4821361c,M,62.0,39000.0,Senior,Low Income
267,8a61b3953f244ff1aecd5ea5e48ac74d,M,56.0,56000.0,Middle Age,Medium Income
268,49a0367c0c93404e808c77f423759eff,M,53.0,41000.0,Middle Age,Low Income
269,62274260252f4b04962ec2f85295b447,M,67.0,56000.0,Senior,Medium Income
270,4c1c14245a1f4b138ae662fe2243342f,F,68.0,50000.0,Senior,Medium Income
271,4df1ca80efca48759fa62d668378451d,Unknown,55.0,64000.0,Middle Age,Medium Income
272,850246fb2a30414eb76ac3e091c090aa,Unknown,55.0,64000.0,Middle Age,Medium Income
273,c93f9619abd642a684bd79953cef992c,F,24.0,59000.0,Young,Medium Income
274,ac62a9c77646419e94900201f4094e40,F,56.0,62000.0,Middle Age,Medium Income
275,462445d316a446eeaf3b21bd398cb87d,Unknown,55.0,64000.0,Middle Age,Medium Income
276,a30a693afbd74047a3796bfb7d10e740,Unknown,55.0,64000.0,Middle Age,Medium Income
277,9ddafd9acd6e441a8ebf8845e2ac5319,F,63.0,41000.0,Senior,Low Income
278,0e72fad934a74c2c97a98c525d64f738,F,59.0,59000.0,Middle Age,Medium Income
279,d11e7279219b418eb0133758d88ee285,F,61.0,99000.0,Senior,High Income
280,f8c45b7197e2414dac38c6f36f4d492f,M,59.0,88000.0,Middle Age,High Income
281,f5b84c63d6514f02bed8258e627f172d,M,36.0,31000.0,Middle Age,Low Income
282,c36c95e9e3e64a48be96977a82f8a753,M,70.0,32000.0,Senior,Low Income
283,4cbe33c601a5407f8202086565c55111,M,53.0,87000.0,Middle Age,High Income
284,63682fd0e2454fe098a3aad2c76e0054,F,53.0,97000.0,Middle Age,High Income
285,85727ebd2e324b60839c149682294ba7,F,80.0,48000.0,Senior,Low Income
286,4cce01bbc3d742c994f654f8c1ecd6b4,M,25.0,66000.0,Young,Medium Income
287,7117a7713dfa4941bf653b99926cd28d,M,54.0,64000.0,Middle Age,Medium Income
288,611846bccd6b4c35ba48ed6b165b2c2d,F,63.0,66000.0,Senior,Medium Income
289,06b99e8cc24b426f8a578c749974b88a,F,56.0,109000.0,Middle Age,High Income
290,e262142cfb3f4c87ab26ba7dd09562aa,M,43.0,59000.0,Middle Age,Medium Income
291,78364f0145d342c2bd44a169cfb9c332,F,58.0,58000.0,Middle Age,Medium Income
292,fae5f722dce445c1ae311729464943cf,F,76.0,98000.0,Senior,High Income
293,b432b74402bb4981a4651c8df1670365,F,63.0,70000.0,Senior,Medium Income
294,d6e40d21be454a08853aeafbd3532647,M,42.0,94000.0,Middle Age,High Income
295,b6874ec74838469482e7bcce0251acdd,F,52.0,57000.0,Middle Age,Medium Income
296,dc5b1efbc3784d10ad98c4809f2bc010,M,85.0,70000.0,Senior,Medium Income
297,79d6e0ec46a8486a9df7b24552be074b,M,80.0,87000.0,Senior,High Income
298,dce9bfaf37e64b75b5c40866cfe71c80,M,43.0,52000.0,Middle Age,Medium Income
299,42e511d82add46d4b0038ab71015f1b5,M,28.0,73000.0,Young,Medium Income
300,3f297d8938564fdbbcd73db63bc8ce54,M,71.0,67000.0,Senior,Medium Income
301,5749731ed31948abb540a956963926ba,Unknown,55.0,64000.0,Middle Age,Medium Income
302,cffd46a4ad444357a62f3929cd07a072,F,64.0,112000.0,Senior,High Income
303,576e6eed3c6a4ac682ebd35b7ea672f4,M,20.0,49000.0,Young,Low Income
304,901e3bdd943244ccb87af0ed7dcf0680,Unknown,55.0,64000.0,Middle Age,Medium Income
